date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:16:29	10860/10860	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/	silcnitc.github.io/index.html	(from )
20:18:56	19613/19613	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/css/style.css	silcnitc.github.io/css/style.css	(from http://silcnitc.github.io/)
20:20:02	10860/10860	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/index.html	silcnitc.github.io/index-2.html	(from http://silcnitc.github.io/)
20:20:38	19285/19285	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/img/logo.png	silcnitc.github.io/img/logo.png	(from http://silcnitc.github.io/)
20:20:38	19810/19810	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/about.html	silcnitc.github.io/about.html	(from http://silcnitc.github.io/)
20:20:39	1629/1629	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/help.html	silcnitc.github.io/help.html	(from http://silcnitc.github.io/)
20:20:40	15175/15175	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/documentation.html	silcnitc.github.io/documentation.html	(from http://silcnitc.github.io/)
20:20:40	182819/182819	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/roadmap.html	silcnitc.github.io/roadmap.html	(from http://silcnitc.github.io/)
20:20:41	34788/34788	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/expl.html	silcnitc.github.io/expl.html	(from http://silcnitc.github.io/)
20:20:42	20737/20737	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/oexpl-specification.html	silcnitc.github.io/oexpl-specification.html	(from http://silcnitc.github.io/)
20:20:43	47240/47240	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/abi.html	silcnitc.github.io/abi.html	(from http://silcnitc.github.io/)
20:20:44	6908/6908	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/js/slides.min.jquery.js	silcnitc.github.io/js/slides.min.jquery.js	(from http://silcnitc.github.io/)
20:20:44	3240/3240	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/js/scripts.js	silcnitc.github.io/js/scripts.js	(from http://silcnitc.github.io/)
20:20:46	22711/22711	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/img/flowdiagram.png	silcnitc.github.io/img/flowdiagram.png	(from http://silcnitc.github.io/)
20:20:46	41578/41578	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/img/github.jpg	silcnitc.github.io/img/github.jpg	(from http://silcnitc.github.io/)
20:20:46	150/150	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/img/arrow.png	silcnitc.github.io/img/arrow.png	(from http://silcnitc.github.io/css/style.css)
20:20:47	135/135	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/img/arrowhover.png	silcnitc.github.io/img/arrowhover.png	(from http://silcnitc.github.io/css/style.css)
20:20:47	161/161	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/img/left.png	silcnitc.github.io/img/left.png	(from http://silcnitc.github.io/css/style.css)
20:20:47	145/145	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Feb%202018%2013:51:13%20GMT	http://silcnitc.github.io/img/up.png	silcnitc.github.io/img/up.png	(from http://silcnitc.github.io/css/style.css)
